#{"t_start": 1727647854.4615552, "env_id": "None"}
r,l,t
-1.0,9,2.855807
-1.0,10,2.860558
0.0,4,2.862577
-1.0,14,2.869305
-1.0,5,2.87171
-1.0,4,2.873623
0.0,6,2.876468
-1.0,4,2.878387
-1.0,13,2.884471
0.0,8,2.888242
-1.0,16,2.89573
0.0,3,2.897186
-1.0,3,2.898638
-1.0,27,2.911207
-1.0,7,2.914505
0.0,2,2.915486
-1.0,3,2.916925
-1.0,8,2.920701
-1.0,5,2.923083
0.0,20,2.932448
-1.0,4,2.934368
-1.0,9,2.938781
-1.0,4,2.940705
-1.0,6,2.943586
-1.0,13,2.949816
-1.0,9,2.95407
-1.0,13,2.960144
-1.0,8,2.9639
-1.0,5,2.966391
0.0,11,2.971564
-1.0,4,2.973494
-1.0,3,2.974946
-1.0,7,2.97825
-1.0,16,2.985689
-1.0,13,2.991798
-1.0,19,3.000715
-1.0,15,3.007703
-1.0,11,3.012886
-1.0,3,3.014329
0.0,5,3.016718
0.0,7,3.020075
0.0,5,3.022576
-1.0,3,3.024058
-1.0,6,3.02692
-1.0,33,3.466559
-1.0,21,3.476581
-1.0,6,3.479441
0.0,28,3.492409
-1.0,9,3.496662
0.0,18,3.505222
-1.0,6,3.508218
0.0,43,3.528319
0.0,10,3.533007
-1.0,7,3.536298
0.0,18,3.545955
0.0,3,3.547443
-1.0,7,3.550788
-1.0,6,3.553774
0.0,18,3.5623
-1.0,6,3.565134
0.0,12,3.570733
0.0,7,3.574016
0.0,5,3.576413
0.0,15,3.583423
-1.0,4,3.585355
0.0,17,3.593306
0.0,41,3.61238
-1.0,4,3.614279
0.0,9,3.618544
0.0,12,3.624356
0.0,4,3.626443
0.0,7,3.629764
1.0,13,3.635851
0.0,3,3.637321
-1.0,5,3.639733
-1.0,6,3.64256
0.0,2,3.64355
-1.0,14,3.650091
0.0,14,3.656839
-1.0,4,3.658779
-1.0,8,3.663049
0.0,14,3.669936
-1.0,14,3.676774
-1.0,15,3.683814
-1.0,6,3.686776
-1.0,10,3.691547
-1.0,8,3.695376
-1.0,4,3.697281
-1.0,30,3.712541
1.0,13,3.718879
-1.0,6,3.721818
0.0,5,3.724205
0.0,7,3.727651
-1.0,3,3.729114
-1.0,23,3.739793
0.0,8,3.743599
0.0,8,3.747553
-1.0,9,3.751769
0.0,30,3.765847
-1.0,6,3.768662
0.0,9,3.772948
-1.0,15,3.780101
-1.0,5,3.782478
-1.0,11,3.787625
-1.0,10,3.792371
-1.0,10,3.797218
-1.0,4,3.799225
-1.0,14,3.806062
0.0,32,3.821693
-1.0,32,3.837195
-1.0,57,3.864407
-1.0,6,3.867245
-1.0,3,3.868693
0.0,10,3.873393
-1.0,3,3.87495
1.0,11,3.880159
-1.0,3,3.881627
0.0,6,3.88449
-1.0,5,3.886888
0.0,9,3.891266
-1.0,33,3.906767
-1.0,10,3.91169
-1.0,5,3.914081
0.0,21,3.924038
0.0,9,3.928428
-1.0,4,3.930325
0.0,9,3.934564
0.0,5,3.937022
-1.0,5,3.93939
